"available","availableText","brand","ean","endedDate","image","itemLocation","itemNumber","mpn","price","priceWithCurrency","seller","sold","subTitle","title","type","upc","url","wasPrice","wasPriceWithCurrency","whyToBuy/0","whyToBuy/1","whyToBuy/2"
,,,,,,"Wheeling, Illinois, United States","254948735111",,"7000","US $7,000.00","chicagochampions",,"","💎POP 1 Bowman's Best Kobe Bryant Refractor #399/400 BGS 10 GEM MINT 2021 HOF💎","Sports Trading Card",,"https://www.ebay.com/itm/254948735111",,,"Ships from United States","6 watchers",
,,,,,,"Beltsville, Maryland, United States","195498375351",,"7000","US $7,000.00","cultureshockcomic",,"","2018 PRIZM JOSH ALLEN SILVER STAINED GLASS RC ROOKIE CARD FLAWLESS PSA 10 RARE!!","Sports Trading Card",,"https://www.ebay.com/itm/195498375351",,,"Ships from United States",,
,,,,,,"Rockford, Illinois, United States","165790440167",,"7000","US $7,000.00","utestuff19",,"","1/1 2004 Finest BEN ROETHLISBERGER Gold Xfractor 1/5 AUTO RC Ref 108 BGS 9.5 10","Sports Trading Card","Does not apply","https://www.ebay.com/itm/165790440167",,,,,
,,,,,,"East Norwich, New York, United States","155299272769",,"7000","US $7,000.00","pc_sportscards",,"","KEVIN DURANT 2007 SP Authentic 152 RPA RC Rookie Patch AUTO /299 BGS 8.5/10",,,"https://www.ebay.com/itm/155299272769",,,"Ships from United States","13 watchers",
,,,,,,"Tucson, Arizona, United States","284676908758",,"7000","US $7,000.00","maui_023",,"","2020-21 mosaic LeBron James FOTL Green Swirl 1/10!! PSA 9 READ","Sports Trading Card",,"https://www.ebay.com/itm/284676908758",,,"Ships from United States",,
,,,,,,"Downingtown, Pennsylvania, United States","364053310098",,"6999.99","US $6,999.99","doctorpoz",,"","2000 Topps Chrome Ken Griffey Jr ALLEGIANCE Refractor #TA20 /100 BGS 9.5 w/10","Sports Trading Card",,"https://www.ebay.com/itm/364053310098",,,"Ships from United States","9 watchers",
,,,,,,"Vacaville, California, United States","195070127362",,"6999.99","US $6,999.99","trex2330",,"","2005 SPx Winning Materials Aaron Rodgers RC Rookie Jersey AUTO /25 Packers PSA 8","Sports Trading Card",,"https://www.ebay.com/itm/195070127362",,,"Ships from United States","6 watchers",
,,,,,,"Lockport, Illinois, United States","255609186178",,"7000","US $7,000.00","speak917",,"","2021 Donruss, Gridiron Marvels, Justin Fields, PSA 10, Chicago Bears","Sports Trading Card",,"https://www.ebay.com/itm/255609186178",,,"Ships from United States","15 watchers",
,,,,,,"Portsmouth, New Hampshire, United States","175508018587",,"6999.99","US $6,999.99","mc_sportscards",,"","KOBE BRYANT KEVIN DURANT BGS 8.5 2015-16 IMMACULATE COLLECTION DUAL AUTO 48/49",,,"https://www.ebay.com/itm/175508018587",,,"Ships from United States","11 watchers",
,,,,,,"Sayreville, New Jersey, United States","334201745178",,"6999.99","US $6,999.99","graded_greatness",,"","2017-18 Panini Prizm Donovan Mitchell White Sparkle SP RC BGS 9.5 Scarce!! 🔥🔥","Sports Trading Card",,"https://www.ebay.com/itm/334201745178",,,"Ships from United States",,
,,,,,,"Saint Louis, Missouri, United States","194092434992",,"6999.99","US $6,999.99","carpedm_collectibles",,"","2001 Albert Pujols Topps Traded Gold #T247 RC- BGS 8.5 Mint... #168/2001","Sports Trading Card",,"https://www.ebay.com/itm/194092434992",,,"Ships from United States","7 watchers",
,,,,,,"Canton, Georgia, United States","144288243784",,"6999.99","US $6,999.99","big_kid_collection",,"","2017 Panini Prizm Patrick Mahomes II RC Silver Holo Prizm BGS 9.5 (Gem Mint)","Sports Trading Card",,"https://www.ebay.com/itm/144288243784",,,"Ships from United States",,
,,,,,,"Madison, Wisconsin, United States","124948513973",,"6999.99","US $6,999.99","treyburnstud23",,"","2019-20 Panini Silver Prizm Penmanship Zion Williamson RC AUTO BGS 9.5 True Gem+","Sports Trading Card",,"https://www.ebay.com/itm/124948513973",,,"Ships from United States","8 watchers",
,,,,,,"Portsmouth, New Hampshire, United States","185531150658",,"6999.99","US $6,999.99","mc_sportscards",,"","DERRICK HENRY SGC 9.5 2016 NATIONAL TREASURES #112 ROOKIE PATCH AUTO BLACK /5 RC","Sports Trading Card",,"https://www.ebay.com/itm/185531150658",,,"Ships from United States","9 watchers",
,,,,,,"Quincy, Massachusetts, United States","175322632935",,"6999.99","US $6,999.99","gavin2727",,"","1996-97 TOPPS ORIGINAL PSA 5 2004 BOWMAN DP & PROS BUYBACK KOBE BRYANT #138 /100","Sports Trading Card",,"https://www.ebay.com/itm/175322632935",,,"Ships from United States",,
,,,,,,"Westerville, Ohio, United States","284822675000",,"6999.99","US $6,999.99","collectcheese",,"","1997-98 Metal Universe Michael Jordan Planet Metal BGS 9.5 Gem (10,9.5,9,9.5) #1","Sports Trading Card",,"https://www.ebay.com/itm/284822675000",,,"Ships from United States","16 watchers",
,,,,,,"Quincy, Massachusetts, United States","325239846130",,"6999.99","US $6,999.99","gavin2727",,"","SGC 1 1909 T206 TY COBB GREEN PORTRAIT PIEDMONT 150 HOF GREAT LOOKING CARD","Sports Trading Card",,"https://www.ebay.com/itm/325239846130",,,"Ships from United States",,
,,,,,,"Saint Petersburg, Florida, United States","285057203902",,"6999.99","US $6,999.99","perimetercollectibles",,"","LUIS ROBERT 2020 Topps Chrome Ben Baller Superfractor Rookie RC 1/1 1of1 PSA 10","Sports Trading Card",,"https://www.ebay.com/itm/285057203902",,,"Ships from United States",,
,,,,,,"Westerville, Ohio, United States","284822674993",,"6999.99","US $6,999.99","collectcheese",,"","1996-97 SkyBox Z-Force Michael Jordan Slam Cam BGS 9.5 Gem (9.5,9,9.5,9.5) #sc5","Sports Trading Card",,"https://www.ebay.com/itm/284822674993",,,"14 watchers",,
,,,,,,"Fresno, California, United States","255429341747",,"6999.99","US $6,999.99","sheepdog559",,"","Tom Brady 2021 Specta Nebula /2 Rookie photo!! Rare!! PSA","Sports Trading Card",,"https://www.ebay.com/itm/255429341747",,,"Ships from United States",,
,,,,,,"San Diego, California, United States","304581293832",,"6999.99","US $6,999.99","9999rbush",,"","1969 Topps #25 Lew Alcindor Kareem Abdul-Jabbar Rookie RC PSA 6",,,"https://www.ebay.com/itm/304581293832",,,"Ships from United States",,
,,,,,,"Independence, Ohio, United States","234683442437",,"6999.99","US $6,999.99","aztechengineer",,"","1910 E98 - TY COBB - SGC 10 PR 1 (SVSC)","Sports Trading Card",,"https://www.ebay.com/itm/234683442437",,,"Ships from United States",,
,,,,,,"East Norwich, New York, United States","155299272808",,"7000","US $7,000.00","pc_sportscards",,"","TRAE YOUNG 2018 Panini Prizm 78 White Sparkle SSP RC Rookie BGS 9.5 TRUE GEM",,,"https://www.ebay.com/itm/155299272808",,,"Ships from United States",,
,,,,,,"Tampa, Florida, United States","255686486673",,"6999.99","US $6,999.99","gt-cbooks",,"","Michael Jordan 1986-87 Fleer Basketball #57 Rookie Card RC Graded SGC 7.5 NM+","Sports Trading Card",,"https://www.ebay.com/itm/255686486673",,,"Returns accepted","Ships from United States","17 watchers"
,,,,,,"Pittsburgh, Pennsylvania, United States","255024263805",,"6999.11","US $6,999.11","futbol18",,"","🔥 2018-19 Panini Threads Trae Young Gold Dazzle 4/10 PSA 10 ROOKIE SP RC 🔥","Sports Trading Card",,"https://www.ebay.com/itm/255024263805",,,"Ships from United States","8 watchers",
,,,,,,"Catasauqua, Pennsylvania, United States","314121862650",,"6999","US $6,999.00","fe541854",,"","Michael Jordan Julius Erving MINT 2009-10 GOTG Dual auto #1/5!  BGS 10 Auto","Sports Trading Card",,"https://www.ebay.com/itm/314121862650",,,"Ships from United States",,
,,,,,,"Chapel Hill, North Carolina, United States","353526182408",,"6999","US $6,999.00","nfinitycards",,"","2003-04 Fleer Tradition Draft Day Trio James Wade Bosh RC #’d 52/375- SGC 9 MT","Sports Trading Card",,"https://www.ebay.com/itm/353526182408",,,"Ships from United States","14 watchers",
,,,,,,"Fargo, North Dakota, United States","125579589275",,"6999","US $6,999.00","carlsrud_b",,"","2020 Select Gold Disco Concourse Prizm Justin Herbert 8/10 PSA 10 LA Chargers","Sports Trading Card",,"https://www.ebay.com/itm/125579589275",,,"Ships from United States","5 watchers",
